"filename", "language", "XML", "JavaScript", "Markdown", "YAML", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\design-system.yaml", "YAML", 0, 0, 0, 176, 0, 0, 0, 10, 14, 200
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 217, 0, 0, 8, 9, 234
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\assessment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 383, 0, 0, 12, 21, 416
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 5, 6, 108
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 15, 10, 6, 31
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 531, 0, 0, 25, 32, 588
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\MobileMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 1, 5, 52
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\store\themeSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"Total", "-", 5, 16, 23, 176, 1334, 55, 15, 72, 140, 1836
