"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\ask-guide\page.tsx", "TypeScript JSX", 150, 7, 9, 166
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\community\page.tsx", "TypeScript JSX", 207, 4, 11, 222
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\layout.tsx", "TypeScript JSX", 93, 4, 7, 104
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\page.tsx", "TypeScript JSX", -6, 0, 1, -5
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\progress\page.tsx", "TypeScript JSX", 211, 5, 9, 225
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\resources\page.tsx", "TypeScript JSX", 157, 4, 8, 169
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\roadmap\page.tsx", "TypeScript JSX", 127, 2, 6, 135
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\assessment\page.tsx", "TypeScript JSX", 2, 0, 0, 2
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\assessment\results\page.tsx", "TypeScript JSX", 235, 11, 13, 259
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\page.tsx", "TypeScript JSX", 4, 0, 2, 6
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\page.tsx", "TypeScript JSX", -2, 2, -1, -1
"Total", "-", 1178, 39, 65, 1282
