"filename", "language", "JavaScript", "TypeScript", "XML", "YAML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\design-system.yaml", "YAML", 0, 0, 0, 176, 0, 0, 0, 10, 14, 200
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\eslint.config.mjs", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\ask-guide\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 150, 0, 0, 7, 9, 166
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 207, 0, 0, 4, 11, 222
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 4, 7, 104
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 211, 0, 0, 8, 10, 229
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\progress\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 211, 0, 0, 5, 9, 225
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\resources\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 157, 0, 0, 4, 8, 169
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\dashboard\roadmap\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 127, 0, 0, 2, 6, 135
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\assessment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 385, 0, 0, 12, 21, 418
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\assessment\results\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 235, 0, 0, 11, 13, 259
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\get-started\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 101, 0, 0, 5, 8, 114
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 15, 10, 6, 31
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 529, 0, 0, 27, 31, 587
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\MobileMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 1, 5, 52
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\store\store.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Abdessamed\Desktop\GigaCodeX\frontend\src\store\themeSlice.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"Total", "-", 16, 55, 5, 176, 2512, 23, 15, 111, 205, 3118
